,Country_Code,Reference_Date,Population Subgroup,NO_CASES,NO_DEATHS,PREV_RATE,Country,Population,GDP ($ per capita),Region,cases_normalized_percentage,flag
9013,DOM,1995,Cumulative AIDS cases & deaths,3090,617,-1.0,Dominican Republic,9183984,6000.0,LATIN AMER. & CARIB,0.03364552899917944,🇩🇴
9101,ECU,1997,Cumulative AIDS cases & deaths,553,430,-1.0,Ecuador,13547510,3300.0,LATIN AMER. & CARIB,0.004081930923099521,🇪🇨
9107,ECU,1995,Cumulative AIDS cases & deaths,543,393,-1.0,Ecuador,13547510,3300.0,LATIN AMER. & CARIB,0.004008116620692659,🇪🇨
9121,ECU,1987,Cumulative AIDS cases & deaths,52,6,-1.0,Ecuador,13547510,3300.0,LATIN AMER. & CARIB,0.0003838343725156874,🇪🇨
9122,ECU,1988,Cumulative AIDS cases & deaths,45,26,-1.0,Ecuador,13547510,3300.0,LATIN AMER. & CARIB,0.0003321643608308833,🇪🇨
9125,ECU,1987,Cumulative AIDS cases & deaths,18,6,-1.0,Ecuador,13547510,3300.0,LATIN AMER. & CARIB,0.00013286574433235334,🇪🇨
9378,FJI,2004,Cumulative AIDS cases & deaths,30,17,-1.0,Fiji,905949,5800.0,OCEANIA,0.003311444683972276,🇫🇯
9380,FJI,1995,Cumulative AIDS cases & deaths,7,7,-1.0,Fiji,905949,5800.0,OCEANIA,0.0007726704262601979,🇫🇯
9421,GEO,2006,Cumulative AIDS cases & deaths,518,269,-1.0,Georgia,4661473,2500.0,C.W. OF IND. STATES,0.01111236727103214,🇬🇪
9567,GRD,1997,Cumulative AIDS cases & deaths,102,68,-1.0,Grenada,89703,5000.0,LATIN AMER. & CARIB,0.11370857161967828,🇬🇩
9569,GRD,1995,Cumulative AIDS cases & deaths,76,53,-1.0,Grenada,89703,5000.0,LATIN AMER. & CARIB,0.08472403375583872,🇬🇩
9571,GRD,1988,Cumulative AIDS cases & deaths,16,5,-1.0,Grenada,89703,5000.0,LATIN AMER. & CARIB,0.017836638685439728,🇬🇩
9583,GRD,1987,Cumulative AIDS cases & deaths,4,3,-1.0,Grenada,89703,5000.0,LATIN AMER. & CARIB,0.004459159671359932,🇬🇩
9585,GRD,1987,Cumulative AIDS cases & deaths,6,5,-1.0,Grenada,89703,5000.0,LATIN AMER. & CARIB,0.006688739507039899,🇬🇩
9611,GRD,1989,Cumulative AIDS cases & deaths,19,12,-1.0,Grenada,89703,5000.0,LATIN AMER. & CARIB,0.02118100843895968,🇬🇩
9941,GTM,2000,Cumulative AIDS cases & deaths,3338,537,-1.0,Guatemala,12293545,4100.0,LATIN AMER. & CARIB,0.027152460905296234,🇬🇹
9948,GTM,1988,Cumulative AIDS cases & deaths,47,36,-1.0,Guatemala,12293545,4100.0,LATIN AMER. & CARIB,0.000382314458522745,🇬🇹
9951,GTM,1987,Cumulative AIDS cases & deaths,27,27,-1.0,Guatemala,12293545,4100.0,LATIN AMER. & CARIB,0.00021962745489604503,🇬🇹
9954,GTM,1987,Cumulative AIDS cases & deaths,22,13,-1.0,Guatemala,12293545,4100.0,LATIN AMER. & CARIB,0.00017895570398937004,🇬🇹
10131,GTM,1995,Cumulative AIDS cases & deaths,711,242,-1.0,Guatemala,12293545,4100.0,LATIN AMER. & CARIB,0.005783522978929186,🇬🇹
10162,GUY,1995,Cumulative AIDS cases & deaths,698,193,-1.0,Guyana,767245,4000.0,LATIN AMER. & CARIB,0.0909748515793521,🇬🇾
10165,GUY,1988,Cumulative AIDS cases & deaths,40,19,-1.0,Guyana,767245,4000.0,LATIN AMER. & CARIB,0.005213458543229346,🇬🇾
