,Country_Code,Reference_Date,Population Subgroup,NO_CASES,NO_DEATHS,PREV_RATE,Country_x,Population,GDP ($ per capita),Region,cases_normalized_percentage,flag,Country,Alpha-3 code,Latitude (average),Longitude (average)
61,CHN,2012,Cumulative AIDS cases & deaths,200161,"61,016",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.015233257562132,🇨🇳,China,CHN,35.0,105.0
62,CHN,2012,Cumulative AIDS cases & deaths,190712,"58,457",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0145141411972828,🇨🇳,China,CHN,35.0,105.0
63,CHN,2010,Cumulative AIDS cases & deaths,138288,"72,616",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0105244114575372,🇨🇳,China,CHN,35.0,105.0
64,CHN,2010,Cumulative AIDS cases & deaths,5661,"2,679",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.000430830536714,🇨🇳,China,CHN,35.0,105.0
65,CHN,2010,Cumulative AIDS cases & deaths,7147,"4,244",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0005439226012887,🇨🇳,China,CHN,35.0,105.0
66,CHN,2010,Cumulative AIDS cases & deaths,4023,"2,252",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0003061705086028,🇨🇳,China,CHN,35.0,105.0
67,CHN,2010,Cumulative AIDS cases & deaths,1925,"1,242",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0001465021697888,🇨🇳,China,CHN,35.0,105.0
68,CHN,2010,Cumulative AIDS cases & deaths,4599,993,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0003500070020046,🇨🇳,China,CHN,35.0,105.0
69,CHN,2012,Cumulative AIDS cases & deaths,197096,"60,093",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0149999956658189,🇨🇳,China,CHN,35.0,105.0
70,CHN,2012,Cumulative AIDS cases & deaths,193986,"59,285",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0147633090434587,🇨🇳,China,CHN,35.0,105.0
71,CHN,1998,Cumulative AIDS cases & deaths,42,23,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.1964109772110793e-06,🇨🇳,China,CHN,35.0,105.0
72,CHN,2016,Cumulative AIDS cases & deaths,37179,"15,422",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0028295086600412,🇨🇳,China,CHN,35.0,105.0
73,CHN,2012,Cumulative AIDS cases & deaths,181491,"55,530",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0138123767777384,🇨🇳,China,CHN,35.0,105.0
74,CHN,2012,Cumulative AIDS cases & deaths,178002,"54,582",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0135468463515601,🇨🇳,China,CHN,35.0,105.0
75,CHN,2009,Cumulative AIDS cases & deaths,1572,888,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0001196370965756,🇨🇳,China,CHN,35.0,105.0
76,CHN,2001,Cumulative AIDS cases & deaths,2,2,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),1.522100465338609e-07,🇨🇳,China,CHN,35.0,105.0
77,CHN,2012,Cumulative AIDS cases & deaths,205420,"62,785",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0156334938794928,🇨🇳,China,CHN,35.0,105.0
78,CHN,2011,Cumulative AIDS cases & deaths,461,138,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.508441572605494e-05,🇨🇳,China,CHN,35.0,105.0
79,CHN,2011,Cumulative AIDS cases & deaths,17,4,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),1.2937853955378175e-06,🇨🇳,China,CHN,35.0,105.0
80,CHN,2011,Cumulative AIDS cases & deaths,48,15,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.6530411168126617e-06,🇨🇳,China,CHN,35.0,105.0
